Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
    CCLibrary.exe		592 K	820 K	13648	CCLibraries	Adobe Systems Incorporated
     node.exe		41,172 K	12,084 K	14988	Node.js JavaScript Runtime	Node.js
      conhost.exe		6,356 K	2,132 K	2172	Console Window Host	Microsoft Corporation
    Adobe CEF Helper.exe	< 0.01	48,948 K	15,424 K	2420	Adobe CEF Helper	Adobe Inc.
   taskhostw.exe		8,540 K	17,636 K	19448		
   taskhostw.exe		1,444 K	7,800 K	25744	Host Process for Windows Tasks	Microsoft Corporation
   WMIC.exe		2,328 K	12,080 K	13332		
    conhost.exe	< 0.01	6,716 K	14,248 K	21268		
   WMIC.exe		2,384 K	12,068 K	5904		
    conhost.exe	< 0.01	6,744 K	14,260 K	22708		
  IntelCpHDCPSvc.exe		1,376 K	4,296 K	1708	Intel HD Graphics Drivers for Windows(R)	Intel Corporation
  svchost.exe		3,228 K	18,472 K	1752	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		11,424 K	39,284 K	1760	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,068 K	15,512 K	1804	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,392 K	14,108 K	1884	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	< 0.01	18,456 K	27,908 K	1900	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,036 K	19,752 K	2012	Host Process for Windows Services	Microsoft Corporation
   sihost.exe		16,676 K	38,676 K	7548	Shell Infrastructure Host	Microsoft Corporation
  IntelCpHeciSvc.exe		1,392 K	4,536 K	2032	IntelCpHeciSvc Executable	Intel Corporation
  svchost.exe		2,060 K	17,808 K	1172	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,388 K	20,352 K	1516	Host Process for Windows Services	Microsoft Corporation
  igfxCUIService.exe		1,800 K	5,544 K	2092	igfxCUIService Module	Intel Corporation
   igfxEM.exe		3,912 K	9,200 K	7668	igfxEM Module	Intel Corporation
  svchost.exe		7,380 K	17,124 K	2104	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		4,208 K	16,176 K	2208	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,672 K	18,600 K	2264	Host Process for Windows Services	Microsoft Corporation
   dasHost.exe		7,784 K	15,188 K	2360		
   dasHost.exe		896 K	4,080 K	20468		
  AppHelperCap.exe		2,520 K	5,960 K	2380		HP Inc.
  DiagsCap.exe		2,392 K	5,932 K	2388		HP Inc.
  NetworkCap.exe		3,228 K	6,424 K	2404		HP Inc.
  SysInfoCap.exe		5,524 K	10,060 K	2424		HP Inc.
  svchost.exe		13,232 K	32,064 K	2448	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,420 K	29,524 K	2500	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		5,856 K	23,712 K	2532	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		7,444 K	29,736 K	2584	Host Process for Windows Services	Microsoft Corporation
  TouchpointAnalyticsClientService.exe	< 0.01	79,604 K	30,624 K	2640	HP Touchpoint Analytics Client Service	HP Inc.
  svchost.exe		4,724 K	19,576 K	2740	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,640 K	16,160 K	2880	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		4,100 K	23,032 K	2952	Host Process for Windows Services	Microsoft Corporation
